OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
+,3849,7825,8617,1256,886,3486,4153,7314,2410,371
+,8838,7509,366,4687,6366,9485,7258,6580,4739,3741
+,845,637,6319,929,4445,1567,1849,4438,2209,7808
+,3241,5589,5144,6881,858,4209,8005,9633,1675,9755
+,7925,5895,6682,1785,6408,9036,2804,7234,4723,9185
+,1629,1536,434,9939,613,1349,8223,9278,1202,6771
+,2954,7423,9088,2079,2154,8768,2213,4289,1631,9485
+,8187,7033,7678,9085,7255,176,5417,1863,8459,1720
-,9418,1185,5405,4538,1168,1370,4610,5324,531,3888
+,6967,1922,9842,7723,2322,3710,5151,4329,4760,4719
+,3329,1911,8147,9105,6112,3328,7113,1502,4172,5858
+,5829,4070,7555,5150,9085,1878,1898,5397,2536,7301
+,636,5,4891,8693,5687,9056,7240,7087,2106,8361
+,4396,3815,8786,3091,5209,4105,5140,6387,7616,48
+,5858,8149,5939,733,2983,1586,637,2037,8182,5731
+,7418,7468,462,4673,4001,1874,6074,9298,9221,9705
+,2025,8117,1838,1377,8614,3692,9510,6156,1610,4520
+,5353,4890,8168,5823,6565,5666,8898,3949,7259,2519
+,5287,6248,3678,4170,8473,2944,1015,5472,5027,4984
-,6967,1922,9842,7723,2322,3710,5151,4329,4760,4719
+,8673,7288,2914,9884,6054,17,3050,8987,5585,938
+,2355,6817,148,2093,8555,5978,3239,9771,6414,8294
+,1627,1223,9401,7019,7842,442,5560,6955,7026,4628
+,7345,2669,8337,6335,2656,3379,9354,2152,8159,9563
+,9168,6782,1617,1344,7195,189,3526,4695,5280,9542
+,891,5854,1489,1684,5869,2989,9902,4144,1548,4093
+,9648,253,8488,5392,8517,6798,8690,9573,9612,7149
+,1233,9385,137,9359,7087,8019,9570,1003,3607,5646
+,1637,854,4123,1235,8085,2610,9974,1863,9003,5235
+,8630,3885,3548,4338,692,5507,6246,8411,573,9358
-,2559,6901,7177,518,834,3760,9699,6860,2924,5756
+,2810,9593,2712,3467,2568,9112,8996,7876,9386,563
+,7067,7559,6118,6644,171,0,3305,1676,8747,699
+,4193,9882,5208,9331,583,7892,8576,8023,1159,8412
+,75,7093,5335,2539,9551,8201,6302,1102,9118,7032
+,9717,5081,5376,8750,3531,7304,945,7301,8518,4813
+,510,5406,2832,6456,187,425,3263,9572,3830,2504
+,3078,5882,1649,4436,7343,6322,2326,3108,1435,5299
+,6254,4052,5589,648,12,7282,3466,5932,5898,8517
+,4644,814,4814,4736,9131,7402,7295,330,360,3551
+,9601,7308,9031,6025,6317,9227,18,693,1229,2831
-,2025,8117,1838,1377,8614,3692,9510,6156,1610,4520
+,3741,7039,3372,7420,1886,679,7178,9872,1827,7822
+,7791,6159,2335,907,9155,9901,3085,2844,8195,6506
+,6527,2457,6478,771,8134,4720,6085,6663,4614,1472
+,7316,7242,7306,8292,6295,7076,4122,5448,8126,6031
+,9186,4101,8990,7504,242,8438,6292,8759,3536,710
+,4269,3908,8249,679,927,9531,1516,8317,2895,6698
+,6089,1256,4514,4740,8863,742,8315,6286,5774,2088
+,3003,2416,733,1377,5629,9346,4436,2849,1269,8025
+,7060,6557,7300,8020,8231,7726,6105,5438,5795,1303
+,401,8408,7073,1419,7215,9740,715,6964,2345,4668
-,4342,9700,3099,1340,5401,3565,267,9608,8570,8671
+,2185,9229,3235,7986,9323,2,893,280,1645,1868
+,5598,363,8007,1179,5678,4377,1612,1022,3043,7158
+,2160,7635,8276,2181,2851,2978,9678,1675,3660,6469
+,1871,8973,321,9407,9661,8002,8503,9467,7781,1247
+,719,108,6953,4049,9303,5613,6263,1976,3940,6618
+,3716,1115,7783,8980,1966,8584,3619,9789,9804,2779
+,4211,4881,8943,6050,2930,3154,8201,9147,5291,736
+,6505,10000,6224,2469,171,5636,6563,745,9000,4078
+,152,7265,9497,1761,5646,6043,9617,8449,3136,3790
+,5220,2433,8662,6427,7234,9404,8343,2782,1493,1810
-,2355,6817,148,2093,8555,5978,3239,9771,6414,8294
+,9586,2820,8154,3666,2880,6218,4451,2815,978,1561
+,7291,9832,4899,1922,7205,4797,3420,2266,4404,7328
+,5280,814,4510,7204,9439,6542,9037,9723,2405,8586
+,1470,108,9750,7517,3472,2632,4117,2283,8458,5736
+,9311,1397,8121,7036,1713,4230,7587,2151,1553,5657
+,4964,2686,6070,8635,6148,7001,9760,1078,5606,8749
+,968,1017,5229,3244,6412,7722,6649,381,436,8029
+,6243,9731,84,7449,6684,1807,8685,4656,81,2414
+,1397,317,3327,5188,1192,7258,2140,2888,2541,2970
+,7862,6557,7741,3633,8015,3271,6770,1862,799,240
-,8081,50,2019,9487,1607,5369,4657,4565,3574,125
+,5158,6463,3310,509,5357,1438,70,7520,2132,5186
+,2103,2231,8294,8633,4990,9037,335,3701,6374,816
+,6009,128,8648,1721,6821,3039,6031,3441,6442,6078
+,3048,7345,4639,9213,8499,3755,4690,1105,2973,4086
+,8781,3549,3419,3470,9871,2048,5267,3053,8782,5354
+,2118,9782,3034,6991,4977,2642,3556,7815,5700,2319
+,2029,970,9672,1872,7280,4091,1997,992,9545,3465
+,6035,1409,1973,447,5466,2110,1413,8588,5736,317
+,1201,6235,7919,1404,6641,9872,5328,4142,1381,8415
+,1714,8588,6762,9534,3021,2648,1622,8692,5566,1093
-,5220,2433,8662,6427,7234,9404,8343,2782,1493,1810
+,2982,3782,5215,617,5943,2637,4696,6869,1622,7133
+,2169,6203,7379,9119,9148,5136,7832,7787,7477,4917
+,7289,2726,3696,6166,3808,9657,969,6593,8141,2120
+,6159,3018,5814,2046,3817,6578,3390,9248,9655,8873
+,3104,2453,6745,9174,4344,1256,5515,1673,8433,4766
+,803,4836,6055,7096,3505,448,4399,4570,5306,7080
+,4384,6489,6328,2482,8643,9031,8614,4793,139,1447
+,1942,4218,2348,2980,9782,4543,3601,9538,7395,5168
+,8672,134,3674,1130,1087,1082,6146,299,495,8067
+,9576,7823,5235,3977,3760,8674,8562,1261,7301,6206
-,1871,8973,321,9407,9661,8002,8503,9467,7781,1247
+,6953,5559,5971,7703,3803,223,1550,5042,1564,829
+,8520,1299,8047,2927,8501,1202,7870,1944,6087,7601
+,4686,3772,6794,3524,3264,8985,8830,7650,7524,2813
+,3997,1348,297,9758,1955,9461,9572,2678,8177,4239
+,1058,7781,5408,3570,89,9298,9547,8216,4540,2514
+,813,9546,3030,9638,7478,4819,311,2933,3663,4412
+,3449,7523,1701,103,9414,802,1011,4498,4367,8893
+,3752,9456,8394,5303,1549,1995,5292,1543,787,7776
+,8754,1397,4898,6517,1391,8086,9433,104,5092,2746
+,4515,5788,5382,5635,5343,7336,8677,6136,5165,1354
-,3055,4326,6857,312,488,9393,5276,1581,9287,631
+,2067,1183,5079,2099,7866,7424,1715,7942,293,4226
+,584,8385,2374,5172,7412,1281,1202,6619,2338,2004
+,8575,8047,9835,4213,8221,4356,5678,2755,9506,157
+,979,4702,1714,2284,8271,6033,7969,4883,2142,6970
+,2703,9583,6850,4734,2873,3645,2050,3167,2334,4461
+,7406,3099,2316,4638,5409,2737,5694,7226,8630,7603
+,3835,1301,5492,4777,2084,5528,586,9464,7872,8112
+,5339,8887,3156,4884,7912,7712,812,9526,2193,611
+,6741,1651,3688,8897,5613,4568,6562,7874,8414,2965
+,6926,4210,719,304,7344,7041,7156,9208,6704,8350
-,9586,2820,8154,3666,2880,6218,4451,2815,978,1561
+,2659,3847,6535,8170,9914,5147,9722,3352,1144,98
+,1870,9728,6285,3039,7207,5377,7782,515,9742,8761
+,2576,8514,9438,4596,7636,7375,2461,18,9937,8576
+,3883,1880,1522,7170,7967,436,5020,5402,4097,2821
+,1296,5936,3193,6884,4436,5092,329,8785,3788,6618
+,616,1897,1446,878,1338,9010,1022,8159,5472,9734
+,3429,2260,8971,4097,2936,4719,6937,9504,5078,3250
+,9237,9614,7217,8229,6967,5413,867,323,2213,8052
+,9010,6125,6086,6382,1036,7610,1377,6743,2122,697
+,4895,9915,2920,3852,1218,8580,7151,2677,9701,1277
-,8754,1397,4898,6517,1391,8086,9433,104,5092,2746
+,2305,2702,1680,86,4731,2042,1534,9853,8321,4072
+,7246,7113,3688,4113,9857,2907,1329,8054,7233,8463
+,6560,7557,5401,9775,2756,9695,3890,1810,2810,422
+,7861,7641,7597,9552,4862,6935,4017,1099,8289,4046
+,2229,3926,3746,111,7191,1406,1132,4531,3706,8857
+,6711,3199,5307,1405,8456,3612,3174,2591,8288,9179
+,4590,2296,7469,7178,4306,8435,9585,8278,1875,8753
+,7973,7836,7395,3254,774,708,7905,5617,1871,9210
+,3453,8318,900,9423,957,3491,4994,3055,362,1898
+,2004,8470,4758,6747,2306,2496,5065,6720,7228,3536
-,1057,3630,2950,2001,6267,650,1925,9846,8406,5543
+,2051,1833,8560,3664,8307,9740,4011,5573,5092,177
+,2573,145,7021,4603,3860,1237,1612,6246,752,3926
+,4906,1612,2916,1705,7531,9103,7058,8838,7427,7285
+,3893,6777,1393,8265,1634,3264,3976,4380,286,892
+,8051,94,3487,6574,4687,6941,9860,4708,3731,5582
+,7031,4854,8176,3410,4315,6345,1415,7647,2304,4924
+,3136,6373,805,1234,7781,8831,2362,7117,1726,879
+,227,4728,7325,8548,7803,5530,7256,8854,6432,100
+,7756,2893,9782,4927,2313,3357,4203,6960,3418,7142
+,6048,8231,2863,9675,3984,7741,2233,5643,8899,4180
-,7060,6557,7300,8020,8231,7726,6105,5438,5795,1303
+,1406,4989,3945,6980,9463,7098,2215,6479,3974,475
+,1115,7762,1405,4087,8446,9325,784,5531,7290,9397
+,2277,5857,7175,8696,4152,8545,5325,8104,627,1531
+,4632,1880,4382,9238,9462,7458,5147,5454,5387,4006
+,2107,7056,9185,5809,3974,8752,9102,6984,1939,9192
+,7785,6720,290,3088,8058,1709,1757,1102,5249,5180
+,5607,8371,1571,1118,5668,9450,38,9755,866,7544
+,7799,1300,1444,3662,7303,7168,8388,3177,1622,4269
+,4078,8997,1286,1943,2339,2002,1745,2121,2404,5261
+,2354,5898,2640,6044,5227,1030,4588,6919,6796,161
-,6404,8920,5535,2765,919,8771,5556,5997,6818,9991
+,5257,2050,9994,186,7952,1096,4550,9956,4238,6016
+,7618,2375,2945,6037,5285,5737,4441,7072,7605,7579
+,6531,4581,7267,1681,1589,646,1599,2856,3059,4175
+,9481,2170,5069,8276,3659,5882,3065,6348,2237,1050
+,6801,5671,1025,719,4432,3715,9155,8605,1488,1637
+,5509,1526,8948,9487,7639,6294,2568,6546,6248,9043
+,6719,675,5370,6106,1518,7300,295,5888,4846,9490
+,4351,7592,4904,4945,6599,3292,3213,2150,5355,501
+,2762,7412,7939,5448,1405,4161,7827,4336,7111,2305
+,1992,736,3656,4780,1598,8138,3315,4580,7367,8232
-,6098,5347,6671,8638,1525,743,4355,294,5660,1632
+,1600,6129,8269,6614,9657,9825,7969,5857,4606,2812
+,9752,2715,8800,8764,9602,2431,2532,644,8226,2957
+,6169,9056,2575,1850,7017,3906,9476,3771,511,372
+,8785,9031,4573,5829,8579,9141,9094,1418,3820,5995
+,9147,106,8468,8060,1469,5554,7184,9098,2492,8533
+,3533,9962,3730,1218,5318,6943,768,5683,8345,7101
+,3393,5433,7624,8540,173,9758,72,9898,9676,3021
+,4132,749,4849,8850,2540,3156,4778,7476,5916,2898
+,4956,8923,512,2146,1358,5154,4900,3262,6588,1326
+,1849,4089,1658,1628,3934,416,7124,1968,1814,8645
-,8785,9031,4573,5829,8579,9141,9094,1418,3820,5995
+,1494,3531,1983,3813,2077,8059,4659,4056,9815,7276
+,4255,3755,3943,5336,4796,7882,6972,3045,8123,598
+,7324,9378,9372,9047,8071,7625,9585,7941,7262,6051
+,7159,1661,8000,2901,6354,8288,5368,1467,9244,3005
+,7817,4484,8928,7763,3160,2966,1269,4400,3162,7755
+,4487,7278,7416,6218,3651,4862,1675,6030,5056,3665
+,6785,7831,2470,7551,8406,5095,7836,1312,6897,8517
+,670,7771,3119,3215,1273,5640,9316,7586,4397,679
+,8562,1758,1864,1948,8951,378,9442,3826,9056,1565
+,1988,8932,6823,2712,4922,4488,6574,4327,8244,6461
-,7862,6557,7741,3633,8015,3271,6770,1862,799,240
+,6896,7363,3359,932,1932,5962,6651,9919,519,1611
+,3264,190,59,9604,6371,1085,2247,3763,1147,8000
+,6730,2572,443,2955,850,1012,5106,2925,3308,4381
+,9417,9302,7133,6459,1019,9294,1890,5591,9955,6640
+,1832,5282,264,453,3077,7895,9526,2993,7321,2381
+,5415,7878,162,8074,1711,2887,8769,9808,9502,5442
+,2547,5739,165,2809,4119,7861,3920,6808,8746,6842
+,7856,2774,6847,5741,3915,2184,2488,3438,6105,538
+,1158,6205,3801,2349,7107,3664,3512,6554,7703,683
+,468,8678,1965,8550,6373,4033,9643,8503,9275,1977
-,2915,1570,4497,3939,4984,8163,1319,1981,638,6995
+,2282,7020,5793,1779,6568,2562,1341,1666,9067,5207
+,6245,7929,5390,232,2221,9634,3820,8222,4464,177
+,5512,8189,3861,1464,1647,325,5655,4322,4062,2211
+,9296,2242,6209,4834,3831,2381,7262,8075,2134,7825
+,8580,4695,7519,715,608,4633,6828,3776,5544,265
+,8361,1236,3369,6526,1667,9003,538,1171,5087,3841
+,4449,6378,6022,2880,3949,3345,8976,4710,32,4796
+,7959,8500,9650,7430,1051,5027,981,8014,9305,3954
+,5684,3645,5234,9872,9436,5446,7492,7134,5630,7643
+,6568,3686,8830,9195,5570,3865,4157,3665,6570,2609
-,4396,3815,8786,3091,5209,4105,5140,6387,7616,48
+,9646,7560,1648,5564,3301,935,1622,1158,7027,8083
+,6414,1890,538,812,9965,3815,8362,5173,9295,8030
+,1362,816,1010,6342,6744,1938,7668,4728,214,9973
+,9328,1931,624,4084,9821,4186,3228,6835,463,4969
+,6694,9555,9539,3245,7016,4609,6999,1324,6499,4278
+,9931,5012,936,3265,176,5666,8898,2215,3971,2548
+,3500,6976,9419,3031,8004,4031,9461,9532,6875,2706
+,7484,4325,8692,2596,9673,7130,2586,5522,1928,860
+,9564,7682,1880,3659,6675,5957,72,323,3318,1782
+,9715,8180,4742,972,7139,5757,6463,8696,6485,8901
-,1600,6129,8269,6614,9657,9825,7969,5857,4606,2812
+,3324,8940,2307,2149,631,7734,9898,930,8295,6670
+,8497,4164,8880,6256,4113,3248,5056,3236,5380,5128
+,291,6132,9736,2586,6080,929,8019,6684,7579,3174
+,6879,7622,6595,1823,702,9264,5079,8470,6198,2999
+,9515,4941,7051,6836,6011,4687,3192,8215,8635,2162
+,226,2092,3741,6023,7299,3820,5507,9794,9278,7064
+,2328,4129,2553,2156,9385,3647,8976,8160,5176,3540
+,9903,7521,1096,316,6455,5214,7490,4268,505,4660
+,6813,759,3972,5913,6560,2477,8701,8723,3566,4363
+,3688,3675,7288,2784,1930,3571,3935,9148,8591,8619
-,7856,2774,6847,5741,3915,2184,2488,3438,6105,538
+,9205,1054,6843,1283,2291,8400,8798,636,8328,3303
+,501,9412,3717,3414,6568,1017,5236,8347,8835,3290
+,9511,1935,585,2186,9642,1067,3724,2435,4910,5444
+,2541,3766,3328,8835,6926,6770,7220,4225,81,8962
+,6867,4445,9561,6831,493,7785,521,3676,7424,182
+,2615,8263,2684,2467,1385,1732,7309,8181,946,3184
+,5725,9924,6685,6693,9636,1858,7720,4305,2997,8935
+,412,2259,2845,4196,1146,1261,7365,2423,7746,8075
+,2510,1099,7959,7716,6037,680,5733,5334,5915,2235
+,8391,4280,1503,1770,4813,8599,7621,2064,6159,507
-,2547,5739,165,2809,4119,7861,3920,6808,8746,6842
+,7411,5623,2848,4275,827,9669,6290,3246,7113,9335
+,4293,7371,3407,9106,9498,4614,2062,8835,2657,9765
+,8060,8547,8602,1616,5133,6391,6623,120,2221,5239
+,7798,7689,8407,4799,2881,3855,5907,8873,8056,3467
+,9441,3368,5873,9476,6121,4420,2092,1337,5511,5777
+,3734,9637,3507,2604,7604,7738,2160,4580,1967,3586
+,2409,2776,6071,704,6031,99,829,7823,4182,78
+,6147,7825,4810,2977,1616,1101,2996,7108,2144,525
+,2989,528,7108,9479,7452,6727,7692,2580,3128,7057
+,193,9570,6844,946,6258,7430,863,9593,1086,7193
-,4016,8757,7162,3624,4942,5908,4609,2026,824,2620
+,1919,5929,5196,9651,1576,8237,9914,1245,1216,785
+,8215,3715,189,9813,5690,643,3442,750,5207,5204
+,4092,8399,176,8870,1328,3456,4084,9202,5659,9353
+,6696,2872,5987,4201,8963,6495,7582,7108,3493,7643
+,8686,8826,6847,9851,8592,1469,6848,5544,4893,6243
+,2822,8195,3641,9038,246,7028,8820,7802,59,8858
+,8241,1562,6344,4895,8145,2800,6566,1141,2519,1019
+,7119,3425,8816,1314,6918,2862,2688,8224,8259,9664
+,3480,8385,1277,1573,3037,5416,8680,2416,6198,416
+,5782,9569,386,2039,111,3065,4191,985,4651,1830
-,2409,2776,6071,704,6031,99,829,7823,4182,78
+,7202,8887,3166,9425,7502,3453,1740,6952,2596,5909
+,7588,8073,6238,6663,6525,7629,9655,9094,8155,2283
+,2361,5300,432,8173,7449,14,8230,413,9075,5947
+,1539,9619,1999,9142,8006,6493,9257,7320,7112,2458
+,2857,5914,3677,8351,8972,3417,9397,3214,883,5259
+,3073,6017,4987,4992,959,645,4859,5904,7569,6297
+,203,4514,8032,8368,5398,6013,2375,2599,626,1184
+,750,4347,3744,3352,4216,2727,6937,1961,3413,3769
+,8660,4673,5252,7188,6173,4287,6114,625,307,3178
+,8955,9663,2034,467,5778,881,9468,6223,1130,9790
-,9625,3095,17,3615,2259,975,2177,7563,2851,491
+,3753,6889,4260,1414,9336,2272,7658,8066,4063,1669
+,4424,5010,4189,5735,3294,9795,4010,1178,1716,5689
+,8923,587,4405,3819,5300,3278,6623,6946,6423,1021
+,4459,3998,9935,9291,6483,8107,4887,3876,8940,6027
+,9136,4816,4736,7759,4988,4560,7085,3396,7533,380
+,4654,1167,4051,7623,3614,3599,1078,9470,6002,750
+,1410,3949,8544,3703,3110,2868,1598,8814,8986,4607
+,9444,5407,8126,4416,9410,1692,6942,7420,7771,9535
+,7241,9776,9248,2141,5879,1503,37,7835,394,8931
+,3768,5729,7770,4158,8024,4799,8971,2675,2925,2
-,9417,9302,7133,6459,1019,9294,1890,5591,9955,6640
+,9299,8524,6620,2361,6165,2673,9163,2039,3278,9990
+,7863,3042,3031,3342,1157,7783,1355,9404,227,7524
+,4267,9425,327,7619,6044,7325,4500,5560,1979,843
+,3219,5823,5024,1282,5691,7830,2020,5871,3804,5406
+,9056,7531,4296,6433,6521,8360,8104,6865,9569,8130
+,1904,3997,103,5599,1889,8039,5567,4143,5952,5088
+,1998,8235,4120,6752,2751,9255,4307,10000,5051,9155
+,4761,750,8680,1577,7853,1455,6379,8780,7656,1463
+,5488,3252,1615,1717,3575,4000,666,7351,5007,6825
+,9619,6331,3942,998,7015,1071,5742,3509,189,4827
-,6243,9731,84,7449,6684,1807,8685,4656,81,2414
+,2399,4168,618,7141,1839,101,1345,2967,5057,9002
+,8664,7544,9848,9687,4436,4441,4931,3176,5348,2386
+,7661,4981,8073,332,590,3572,4158,3364,9088,3862
+,5258,1794,2059,7462,2296,5006,9422,6600,3196,4008
+,5786,6634,8415,274,863,72,8763,6612,1146,512
+,8298,1409,3991,7093,1325,7326,4955,9956,813,9879
+,5813,5747,6062,9185,836,8456,4296,4391,9906,2981
+,7917,2419,4837,769,8610,969,3618,6477,4002,9114
+,4524,1543,2418,2085,1999,6620,4392,7601,9,2156
+,7559,4792,1747,9840,9438,1595,8907,761,5269,228
-,3393,5433,7624,8540,173,9758,72,9898,9676,3021
+,8528,608,7667,9435,9370,3878,8609,6453,2260,9774
+,9261,4556,6009,7215,2591,7492,1540,2130,7402,2847
+,6712,3016,1198,7266,9902,2020,8313,5702,2484,6839
+,8437,8120,9120,2335,1038,1447,7479,6239,9183,1796
+,5219,9493,7362,1428,4290,3686,6661,336,329,9127
+,4284,997,5959,1013,6618,8877,4060,1381,3774,7225
+,8935,3664,3495,5976,9015,3052,7746,5921,5730,9972
+,5110,4518,5520,6413,8550,6302,2865,832,8252,814
+,8748,1667,2122,5235,7648,6160,7731,5201,3463,8162
+,4270,7477,8573,4498,4086,2506,2336,7392,2955,6537
-,3329,1911,8147,9105,6112,3328,7113,1502,4172,5858
+,6720,9747,983,8195,200,8723,6190,1850,4826,884
+,473,4067,6866,5517,2069,2158,8870,1556,9093,3143
+,6556,6493,7031,8677,9100,550,703,729,6119,1293
+,7578,6696,2763,1889,3718,9534,7729,3644,5539,1132
+,9357,1823,6753,7262,3460,4653,4432,3724,8592,8548
+,5906,779,6205,2536,9330,5736,6571,5863,1249,4360
+,4791,3891,6141,7375,6205,3288,1765,3344,78,3795
+,7005,9028,4264,4433,1095,8566,4146,7252,5283,2394
+,6678,4511,9583,7924,6821,7525,9600,8534,5229,9246
+,8443,4007,8088,4746,2825,5903,3186,4397,6063,4962
-,4270,7477,8573,4498,4086,2506,2336,7392,2955,6537
+,7522,9708,1727,3212,4761,8399,9138,172,1506,2750
+,7635,6078,8885,1306,9438,8860,8850,4708,451,8656
+,8564,5068,1444,3178,8180,1139,3081,1959,1701,4124
+,4007,7891,4517,2895,5525,5855,8077,308,9871,7297
+,8070,7896,4057,3568,8434,8104,7132,2475,8792,7033
+,2215,4305,6064,3018,5814,3702,1206,9939,8924,8735
+,5826,2712,1929,1184,2499,5578,1929,7506,8638,1735
+,6509,6749,3286,1667,1567,8668,1292,2697,724,8379
+,5006,8833,9748,1130,5901,9254,8539,198,9761,1960
+,6425,1513,9497,3744,9276,3276,5306,6751,9054,4538
-,718,9759,2844,1690,6185,7236,9152,8586,4416,3781
+,5569,6875,7079,780,322,5799,2982,7406,9509,6580
+,9737,4135,5357,8848,4104,1857,1088,9183,500,5434
+,6359,9980,8804,9616,5988,3292,5788,6489,1779,8978
+,3981,3525,7051,2820,7475,2039,8860,4294,5731,201
+,5360,7366,3422,1673,6532,9986,8475,5169,2695,184
+,4034,5490,8801,9753,4441,6342,8890,9061,546,4108
+,1755,12,7127,9223,9324,7333,2621,9234,9237,8154
+,9171,6079,6277,1638,1039,6868,4107,3255,8845,33
+,11,2048,78,3264,8230,2343,9394,3861,6264,2752
